Added by Katie,ImportRange formula in cell B3,,,,,Added by Katie,,,,,,,,,0,0,0
EE - PCB,Flexible PCB,"Membrane, 10% Ink",0.000004,-0.00010500,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.000293982,,,"Membrane, 10% Ink",,,,
EE - PCB,Flexible PCB,"Membrane, 20% Ink",0.000005,0.00067400,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.000293982,,,"Membrane, 20% Ink",,,,
EE - PCB,Flexible PCB,"Membrane, 40% Ink",0.000008,0.00005580,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.000293982,,,"Membrane, 40% Ink",,,,
EE - PCB,Flexible PCB,"Membrane, 60% Ink",0.000011,-0.00011800,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.000293982,,,"Membrane, 60% Ink",,,,
EE - PCB,Connector,"Connector, Plug",0.005129,,kgCO2e/g,g,TRUE, ,  ,1,,,"Connector, Plug",,,,
EE - PCB,Connector,FPC Connector,0.031460,,kgCO2e/g,g,TRUE, ,  ,1,,,FPC Connector,,,,
Others,Microphone,Microphone,0.010650,,kgCO2e/pcs,pcs,TRUE, ,  ,0.05,,,Microphone,,,,
EE - Other,Solder,Solder Paste,0.007390,,kgCO2e/g,g,TRUE, ,  ,1,,,Solder Paste,,,,
Others,Motor,Motor,0.008790,,kgCO2e/g,g,TRUE, ,  ,1,,,Motor,,,,
EE - Other,Switch,Tact Switch (242mg),0.001704,,kgCO2e/pcs,pcs,TRUE, ,  ,0.242,,,Tact Switch (242mg),,,,
EE - Other,Switch,Dip Switch (79mg),0.000607,,kgCO2e/pcs,pcs,TRUE, ,  ,0.079,,,Dip Switch (79mg),,,,
EE - Other,LED,"LED, SMD, IR, 3.2x1.6x1.10mm (5.86mg)",0.001020,,kgCO2e/pcs,pcs,TRUE, ,  ,0.00586,,,"LED, SMD, IR, 3.2x1.6x1.10mm (5.86mg)",,,,
EE - Other,LED,"LED, THT/Lamp, IR, 5mm (300mg)",0.016600,,kgCO2e/pcs,pcs,TRUE, ,  ,0.3,,,"LED, THT/Lamp, IR, 5mm (300mg)",,,,
EE - Other,LED,"LED, SMD, IR (2.2mg)",0.000393,,kgCO2e/pcs,pcs,TRUE, ,  ,0.0022,,,"LED, SMD, IR (2.2mg)",,,,
EE - Other,LED,"LED, SMD, Single Colour, 2.8x3.5mm (24mg)",0.003880,,kgCO2e/pcs,pcs,TRUE, ,  ,0.024,,,"LED, SMD, Single Colour, 2.8x3.5mm (24mg)",,,,
EE - Other,LED,"LED, SMD, Single Colour, 2.8x3.2mm (31.8mg)",0.004720,,kgCO2e/pcs,pcs,TRUE, ,  ,0.0318,,,"LED, SMD, Single Colour, 2.8x3.2mm (31.8mg)",,,,
EE - Other,LED,"LED, SMD, RGB, 1x1mm (1.27mg)",0.000234,,kgCO2e/pcs,pcs,TRUE, ,  ,0.00127,,,"LED, SMD, RGB, 1x1mm (1.27mg)",,,,
EE - Other,LED,"LED, SMD, RGB, 2.1x2.1mm (15.04mg)",0.002460,,kgCO2e/pcs,pcs,TRUE, ,  ,0.01504,,,"LED, SMD, RGB, 2.1x2.1mm (15.04mg)",,,,
EE - Other,LED,"LED, SMD, RGB, 4.5x1mm (7.84mg)",0.001230,,kgCO2e/pcs,pcs,TRUE, ,  ,0.00784,,,"LED, SMD, RGB, 4.5x1mm (7.84mg)",,,,
EE - Other,LED,"LED, THT/Lamp, RGB, 5mm (310.53mg)",0.017300,,kgCO2e/pcs,pcs,TRUE, ,  ,0.31053,,,"LED, THT/Lamp, RGB, 5mm (310.53mg)",,,,
EE - Other,LED,"LED, CSP/Mini, 0.4x0.75x0.15mm (0.45mg)",0.000797,,kgCO2e/pcs,pcs,TRUE, ,  ,0.00045,,,"LED, CSP/Mini, 0.4x0.75x0.15mm (0.45mg)",,,,
DfS Bonus,PWA Mixure,PCB / EE Mixer,0.095142,,kgCO2e/g,g,TRUE, ,  ,1,,,PCB / EE Mixer,,,,
Accessories,Cable,FPC Cable,0.007967,,kgCO2e/g,g,TRUE, ,  ,1,,,FPC Cable,,,,
Accessories,Cable,Cable PTFE (3.0 g/m),0.023900,,kgCO2e/m,m,TRUE, ,  ,3,,,Cable PTFE (3.0 g/m),,,,
Accessories,Cable,Cable PE (4.5 g/m),0.015714,,kgCO2e/m,m,TRUE, ,  ,4.5,,,Cable PE (4.5 g/m),,,,
Accessories,Cable,Cable PVC (4.5 g/m),0.017894,,kgCO2e/m,m,TRUE, ,  ,4.5,,,Cable PVC (4.5 g/m),,,,
Accessories,Cable,"Cable TPE, Braided (17.7 g/m)",0.070800,,kgCO2e/m,m,TRUE, ,  ,17.7,,,"Cable TPE, Braided (17.7 g/m)",,,,
Accessories,Cable,Cable TPE (16 g/m),0.061700,,kgCO2e/m,m,TRUE, ,  ,16,,,Cable TPE (16 g/m),,,,
Accessories,Cable,Cable TPE (4.5 g/m),0.019913,,kgCO2e/m,m,TRUE, ,  ,4.5,,,Cable TPE (4.5 g/m),,,,
Accessories,Cable,"Cable PVC, Braided (17.7 g/m)",0.071980,,kgCO2e/m,m,TRUE, ,  ,17.7,,,"Cable PVC, Braided (17.7 g/m)",,,,
Accessories,Cable,Cable PVC (16 g/m),0.062878,,kgCO2e/m,m,TRUE, ,  ,16,,,Cable PVC (16 g/m),,,,
Accessories,Cable,"Connector of Cable, USB Type A, 5g",0.021060,,kgCO2e/pcs,pcs,TRUE, ,  ,5,,,"Connector of Cable, USB Type A, 5g",,,,
Accessories,Cable,"Connector of Cable, USB Type C, 2.2g",0.008320,,kgCO2e/pcs,pcs,TRUE, ,  ,2.2,,,"Connector of Cable, USB Type C, 2.2g",,,,
EE - Other,Battery,"Li-Po, 50mAh",0.088000,,kgCO2e/pcs,pcs,TRUE, ,  ,1,,,"Li-Po, 50mAh",,,,
EE - Other,Battery,"Li-Po, 125mAh",0.132000,,kgCO2e/pcs,pcs,TRUE, ,  ,3.5,,,"Li-Po, 125mAh",,,,
EE - Other,Battery,"Li-Po, 150mAh",0.144000,,kgCO2e/pcs,pcs,TRUE, ,  ,4,,,"Li-Po, 150mAh",,,,
EE - Other,Battery,"Li-Po, 240mAh",0.202000,,kgCO2e/pcs,pcs,TRUE, ,  ,5.5,,,"Li-Po, 240mAh",,,,
EE - Other,Battery,"Li-Po, 430mAh",0.295000,,kgCO2e/pcs,pcs,TRUE, ,  ,8.6,,,"Li-Po, 430mAh",,,,
EE - Other,Battery,"Li-Po, 500mAh",0.312000,,kgCO2e/pcs,pcs,TRUE, ,  ,10.8,,,"Li-Po, 500mAh",,,,
EE - Other,Battery,"Li-Po, 1100mAh",0.574000,,kgCO2e/pcs,pcs,TRUE, ,  ,22,,,"Li-Po, 1100mAh",,,,
EE - Other,Battery,"Li-Po, 1500mAh",0.832000,,kgCO2e/pcs,pcs,TRUE, ,  ,29.5,,,"Li-Po, 1500mAh",,,,
EE - Other,Battery,"Li-Po, 2800mAh",1.380000,,kgCO2e/pcs,pcs,TRUE, ,  ,56,,,"Li-Po, 2800mAh",,,,
EE - Other,Battery,"Li-Po, 3300mAh",1.820000,,kgCO2e/pcs,pcs,TRUE, ,  ,66,,,"Li-Po, 3300mAh",,,,
EE - Other,Battery,"Li-Po, 50mAh, With PCR Cobalt",0.075000,,kgCO2e/pcs,pcs,TRUE, ,  ,1,,,"Li-Po, 50mAh, With PCR Cobalt",,,,
EE - Other,Battery,"Li-Po, 125mAh, With PCR Cobalt",0.101000,,kgCO2e/pcs,pcs,TRUE, ,  ,3.5,,,"Li-Po, 125mAh, With PCR Cobalt",,,,
EE - Other,Battery,"Li-Po, 150mAh, With PCR Cobalt",0.108000,,kgCO2e/pcs,pcs,TRUE, ,  ,4,,,"Li-Po, 150mAh, With PCR Cobalt",,,,
EE - Other,Battery,"Li-Po, 240mAh, With PCR Cobalt",0.143000,,kgCO2e/pcs,pcs,TRUE, ,  ,5.5,,,"Li-Po, 240mAh, With PCR Cobalt",,,,
EE - Other,Battery,"Li-Po, 430mAh, With PCR Cobalt",0.191000,,kgCO2e/pcs,pcs,TRUE, ,  ,8.6,,,"Li-Po, 430mAh, With PCR Cobalt",,,,
EE - Other,Battery,"Li-Po, 500mAh, With PCR Cobalt",0.191000,,kgCO2e/pcs,pcs,TRUE, ,  ,10.8,,,"Li-Po, 500mAh, With PCR Cobalt",,,,
EE - Other,Battery,"Li-Po, 1100mAh, With PCR Cobalt",0.331000,,kgCO2e/pcs,pcs,TRUE, ,  ,22,,,"Li-Po, 1100mAh, With PCR Cobalt",,,,
EE - Other,Battery,"Li-Po, 1500mAh, With PCR Cobalt",0.452000,,kgCO2e/pcs,pcs,TRUE, ,  ,29.5,,,"Li-Po, 1500mAh, With PCR Cobalt",,,,
EE - Other,Battery,"Li-Po, 2800mAh, With PCR Cobalt",0.771000,,kgCO2e/pcs,pcs,TRUE, ,  ,56,,,"Li-Po, 2800mAh, With PCR Cobalt",,,,
EE - Other,Battery,"Li-Po, 3300mAh, With PCR Cobalt",0.968000,,kgCO2e/pcs,pcs,TRUE, ,  ,66,,,"Li-Po, 3300mAh, With PCR Cobalt",,,,
Others,Wheel (Mice),3G Core (17.27g),0.211901, ,kgCO2e/pcs,pcs,TRUE,  ,   ,17.27,,,3G Core (17.27g),,,,
Others,Wheel (Mice),3G Mini (10.27g),0.134850, ,kgCO2e/pcs,pcs,TRUE,  ,   ,10.27,,,3G Mini (10.27g),,,,
Others,Wheel (Mice),1D Roller 2 (4.81g),0.138929, ,kgCO2e/pcs,pcs,TRUE,  ,   ,4.81,,,1D Roller 2 (4.81g),,,,
Others,Wheel (Mice),1D Roller 7 (3.31g),0.141871, ,kgCO2e/pcs,pcs,TRUE,  ,   ,3.31,,,1D Roller 7 (3.31g),,,,
Others,Wheel (Mice),1D Mechnical Encoder (3.41g),0.017670, ,kgCO2e/pcs,pcs,TRUE,  ,   ,3.41,,,1D Mechnical Encoder (3.41g),,,,
Others,Wheel (Mice),2D Micro Ratchet (8.02g),0.167516, ,kgCO2e/pcs,pcs,TRUE,  ,   ,8.02,,,2D Micro Ratchet (8.02g),,,,
Others,Wheel (Mice),EPM Wheel (20mm) (12.28g),0.210000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,12.28,,,EPM Wheel (20mm) (12.28g),,,,
Others,Wheel (Mice),EPM Wheel (25mm) (23.22g),0.237000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,23.22,,,EPM Wheel (25mm) (23.22g),,,,
Others,Wheel (Mice),Magnetic Wheel (6.31g),0.354000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,6.31,,,Magnetic Wheel (6.31g),,,,
Accessories,Receiver / Dongle,"Unifying, Samui (C-U0007) (1.88g)",0.350000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,1.88,,,"Unifying, Samui (C-U0007) (1.88g)",,,,
Accessories,Receiver / Dongle,"Unifying, Stalker (C-U0008) (1.45g)",0.290000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,1.45,,,"Unifying, Stalker (C-U0008) (1.45g)",,,,
Accessories,Receiver / Dongle,"Unifying, Lengo (C-U0012) (1.98g)",0.510000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,1.98,,,"Unifying, Lengo (C-U0012) (1.98g)",,,,
Accessories,Receiver / Dongle,"Dagger, Gizmo (C-U0010) (1.78g)",0.260000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,1.78,,,"Dagger, Gizmo (C-U0010) (1.78g)",,,,
Accessories,Receiver / Dongle,"Dagger, Lantau (C-U0011) (5.64g)",0.750000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,5.64,,,"Dagger, Lantau (C-U0011) (5.64g)",,,,
Accessories,Receiver / Dongle,"LS1, Gravity (C-U0018) (2.34g)",0.460000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,2.34,,,"LS1, Gravity (C-U0018) (2.34g)",,,,
Accessories,Receiver / Dongle,"Telink, Palau (C-U0019) (1.80g)",0.340000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,1.8,,,"Telink, Palau (C-U0019) (1.80g)",,,,
Accessories,Receiver / Dongle,"Bolt, Mezzi (C-U0021) (1.85g)",0.330000, ,kgCO2e/pcs,pcs,TRUE,  ,   ,1.85,,,"Bolt, Mezzi (C-U0021) (1.85g)",,,,
Others,Speaker Driver,Speaker Driver,0.009234, ,kgCO2e/g,g,TRUE,  ,   ,1,,,Speaker Driver,,,,
Accessories,Receiver / Dongle,"Bolt, Bazooka 2  (C-U0025) (3.15g)",0.603630, ,kgCO2e/pcs,pcs,TRUE,  ,   ,3.15,,,"Bolt, Bazooka 2  (C-U0025) (3.15g)",,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,,,,,,,,,
---,,,,,,--,---,,PACKAGING VALUES,,,,,,,,
---,package_type,displayed_advanced_material_name,N/A,,,--,---,,,,,,,,,,
Packaging,Bag,Cotton,0.01407,,kgCO2e/g,g,TRUE,Cloth,,,fabric making? Weaving ?,,Cotton,,,,
Packaging,Bag,Nylon,0.012287,,kgCO2e/g,g,TRUE,Cloth,,,fabric making?,,Nylon,,,,
Packaging,Master Shipper,"AB-Flute-Kraft outside liner, Kraft inside liner",0.00425,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"AB-Flute-Kraft outside liner, Kraft inside liner",,,,
Packaging,Intermediate Pack,"AB-Flute-Kraft outside liner, Kraft inside liner",0.00425,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"B-Flute-Kraft outside liner, Kraft inside liner",,,,
Packaging,Cushion,"AB-Flute-Kraft outside liner, Kraft inside liner",0.00425,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"B-Flute-CCNB outside liner, Black kraft inside liner",,,,
Packaging,Master Shipper,"B-Flute-Kraft outside liner, Kraft inside liner",0.00367,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"BC Flute-Kraft outside liner, Kraft inside liner",,,,
Packaging,Intermediate Pack,"B-Flute-Kraft outside liner, Kraft inside liner",0.00367,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"C-Flute-Kraft outside liner, Kraft inside liner",,,,
Packaging,Cushion,"B-Flute-CCNB outside liner, Black kraft inside liner",0.00399,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"C-Flute-CCNB outside liner, Kraft inside liner",,,,
Packaging,Master Shipper,"BC Flute-Kraft outside liner, Kraft inside liner",0.00421,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"E-Flute-Kraft outside liner, Kraft inside liner",,,,
Packaging,Intermediate Pack,"BC Flute-Kraft outside liner, Kraft inside liner",0.00421,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"E-flute-CCNB outside liner, Black inside liner (kraft liner, flood print)",,,,
Packaging,Cushion,"BC Flute-Kraft outside liner, Kraft inside liner",0.00421,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"F-flute-CCNB outside liner, Kraft inside liner",,,,
Packaging,Master Shipper,"C-Flute-Kraft outside liner, Kraft inside liner",0.00373,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,Adhesive + Synthetic paper,,,,
Packaging,Intermediate Pack,"C-Flute-Kraft outside liner, Kraft inside liner",0.00373,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,Adhesive + PET,,,,
Packaging,Cushion,"C-Flute-CCNB outside liner, Kraft inside liner",0.004,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,Magnet - Neodymium Iron Boron,,,,
Packaging,Intermediate Pack,"E-Flute-Kraft outside liner, Kraft inside liner",0.00362,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,Artpaper,,,,
Packaging,Primary Box,"E-flute-CCNB outside liner, Black inside liner (kraft liner, flood print)",0.00393,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,CCNB paper,,,,
Packaging,Insert,"E-flute-CCNB outside liner, Black inside liner (kraft liner, flood print)",0.00393,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,Cellulose paper,,,,
Packaging,Cushion,"E-flute-CCNB outside liner, Black inside liner (kraft liner, flood print)",0.00393,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,Greyboard paper,,,,
Packaging,Primary Box,"F-flute-CCNB outside liner, Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,,,Greyboard + Artpaper,,,,
Packaging,Label,Adhesive + Synthetic paper,0.006069,,kgCO2e/g,g,TRUE,Label,,,"Film extrusion, adhesive, paper making/ diecutting",,Kraft paper,,,,
Packaging,Label,Adhesive + PET,0.005991,,kgCO2e/g,g,TRUE,Label,,,"Film extrusion, adhesive, paper making/ diecutting",,Molded pulp - Bleached (Semi-wet press/Bamboo/Bagasse),,,,
Packaging,Other,Magnet - Neodymium Iron Boron,0.0735,,kgCO2e/g,g,TRUE,Metal,,,Magnet ?,,Molded pulp - Bleached (Wet press/Bamboo/Bagasse),,,,
Packaging,Protection Wrap,Artpaper,0.004457,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, die-cutting",,Paper padded bag,,,,
Packaging,Intermediate Pack,CCNB paper,0.004142,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,Recycled Paper,,,,
Packaging,Primary Box,CCNB paper,0.004142,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,SBS paper,,,,
Packaging,Insert,CCNB paper,0.004142,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,Starch tray - Bleached,,,,
Packaging,Sleeve,CCNB paper,0.004142,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,Tissue paper,,,,
Packaging,Sleeve,Cellulose paper,0.00621,,kgCO2e/g,g,TRUE,Paper,,,"Film extrusion, paper making/ die-cutting",,Wood fiber double layer,,,,
Packaging,Bag,Cellulose paper,0.00621,,kgCO2e/g,g,TRUE,Paper,,,"Film extrusion, paper making/ die-cutting",,BOPP,,,,
Packaging,Protection Wrap,Cellulose paper,0.00621,,kgCO2e/g,g,TRUE,Paper,,,"Film extrusion, paper making/ die-cutting",,EPE - Black,,,,
Packaging,Insert,Greyboard paper,0.003805,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,EPP - Black,,,,
Packaging,Primary Box,Greyboard + Artpaper,0.008262,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,EPS - Black,,,,
Packaging,Insert,Greyboard + Artpaper,0.008262,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,EPU - Black,,,,
Packaging,Intermediate Pack,Kraft paper,0.003617,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,EVA - Black,,,,
Packaging,Primary Box,Kraft paper,0.003617,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,HDPE Foam,,,,
Packaging,Insert,Kraft paper,0.003617,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,LDPE Foam,,,,
Packaging,Sleeve,Kraft paper,0.003617,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,LDPE Foam Bag,,,,
Packaging,Primary Box,Molded pulp - Bleached (Semi-wet press/Bamboo/Bagasse),0.005636,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, bleaching, paper forming on 2 dietools, pressing), diecutting",,PE - white,,,,
Packaging,Molded Tray,Molded pulp - Bleached (Semi-wet press/Bamboo/Bagasse),0.005636,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, bleaching, paper forming on 2 dietools, pressing), diecutting",,PE Foam,,,,
